name,locations,taxonomy_kingdom,taxonomy_phylum,taxonomy_class,taxonomy_order,taxonomy_family,taxonomy_genus,taxonomy_scientific_name,characteristics_prey,characteristics_name_of_young,characteristics_group_behavior,characteristics_estimated_population_size,characteristics_biggest_threat,characteristics_most_distinctive_feature,characteristics_other_name(s),characteristics_gestation_period,characteristics_habitat,characteristics_diet,characteristics_average_litter_size,characteristics_lifestyle,characteristics_common_name,characteristics_number_of_species,characteristics_location,characteristics_slogan,characteristics_group,characteristics_color,characteristics_skin_type,characteristics_top_speed,characteristics_lifespan,characteristics_weight,characteristics_length,characteristics_age_of_sexual_maturity,characteristics_age_of_weaning,characteristics_litter_size,characteristics_predators,characteristics_type,characteristics_height,characteristics_distinctive_feature,characteristics_temperament,characteristics_training,characteristics_wingspan,characteristics_incubation_period,characteristics_age_of_fledgling,characteristics_average_clutch_size,characteristics_main_prey,characteristics_water_type,characteristics_age_of_independence,characteristics_nesting_location,characteristics_age_of_molting,characteristics_favorite_food,characteristics_origin,characteristics_migratory,domesticos,protegidos,exoticos
Flamingo,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'South-America']",Animalia,Chordata,Aves,Phoenicopteriformes,Phoenicopteridae,Phoenicopterus,,,,,,,,,,Large lakes and plant less lagoons,Omnivore,,Flock,,,,Sleeps on just one leg!,,BlueWhiteOrangePink,Feathers,31 mph,15 - 30 years,2kg - 4kg (4.4lbs - 8.8lbs),,,,,"Human, Eagles, Wild dogs",Bird,100cm - 150cm (39in - 59in),"Long, curved beak and sleep standing on one leg",,,100cm - 180cm (59in - 71in),,,1.0,"Algae, Fish, Insects",,,,,Algae,,,1,0,0
Frigatebird,['Ocean'],Animalia,Chordata,Aves,Pelecaniformes,Fregatidae,Fregata,Fregata,,,,,,,,,Tropical coasts and islands,Carnivore,,Colony,,,,Found inhabiting tropical islands and coasts!,,BrownRedBlackWhite,Feathers,9 mph,15 - 25 years,0.9kg - 1.9kg (1.9lbs - 4.2lbs),,,,,"Humans, Rats, Cats",Bird,65cm - 100cm (25in - 39in),Large wingspan and enlarged red throat of the male,,,150cm - 250cm (59in - 98in),,,1.0,"Fish, Crab, Squid",,,,,Fish,,,1,0,0
Galapagos Penguin,['Ocean'],Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Spheniscus,Spheniscus Mendiculus,,,,,,,,,Rocky Ocean Islands,Carnivore,2,Colony,,,,Found around the Equator!,,GreyBlackWhite,Feathers,,15 - 20 years,2kg - 4kg (4.4lbs - 8.8lbs),,,,,"Leopard Seal, Killer Whale, Sharks",Bird,48cm - 50cm (19in - 20in),Small body size and fully black head,,,,,,,"Krill, Fish, Shrimp",,,,,Krill,,,1,0,0
Golden Masked Owl,['Oceania'],Animalia,Chordata,Aves,Strigiformes,Tytonidae,Tyto,Tyto aurantia,"Rodents, insects, birds, rabbits","Owlets, nestlings",,"2,500-9,999 individuals",Habitat loss,"Heart-shaped, bright white face","Bismarck masked owl, New Britain barn owl, New Britain masked owl",32 days,Lowland and coniferous forests,Carnivore,,NocturnalSolitary,Golden masked owl,16.0,"Tropical forest in New Britain, Papua New Guinea",,Bird,BrownWhiteLight-Brown,Feathers,20 mph,4 years,0.9lbs – 1.7lbs,,1 year old,,2-3 eggs,,,10.6in - 12.9in,,,,,,,,,Saltwater,,,,,,,1,0,0
Goshawk,"['Africa', 'Central-America', 'Eurasia', 'North-America', 'Ocean', 'South-America']",Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter gentilis,"Hares, squirrels, grouse, pigeons, doves, crows, and others",,,Millions,Habitat loss,The barred or striped breast,None,,Woodlands and forests,Carnivore,,,Goshawk,20.0,Worldwide,,,BrownGreyRedBlackWhite,,,Up to 30 years,0.5-1.8kg (1-4lbs),,,,,"Owls, wolves, hawks, eagles, and martens",Bird,About 30-60cm (1-2ft),,,,76-121cm (30-48in),A month,,5.0,,,,Trees,1-2 months,,,1.0,0,1,0
Gouldian Finch,['Oceania'],Animalia,Chordata,Aves,Passeriformes,Estrildidae,Erythrura,Erythrura gouldiae,,,,"2,500",Habitat changes,Brightly colored plumage,"Lady Gouldian finch, Gould’s finch, or the rainbow finch",,Grassy plains with Eucalyptus trees,Herbivore,,,Gouldian finch,1.0,Australia,,,YellowRedBlueBlackPurple,,,8 years in captivity,14g,5.5in – 6in,,,,"Cats, hawks, and snakes",Bird,5in,,,,5.5in,14 days,,,,,,Tree hollows,3 - 4 weeks,Seeds,,,1,0,0
Great Blue Heron,"['Central-America', 'North-America', 'South-America']",Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,Ardea herodias,,,,,,6-7 foot wingspan,,,Marshes,Carnivore,,,Great Blue Heron,,North America,,,GreyBlue,Feathers,,,5-6 pounds,38 inches,,,2-7 eggs,"Bears and raccoons, crows and ravens, eagles",bird,,,,,,30 days,,,fish,,,,,,,,1,0,0
Great Crested Flycatcher,"['Central-America', 'North-America', 'South-America']",Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Myiarchus,Myiarchus crinitus,"Insects, spiders, lizards, fruits, and berries",,,6.7 million,Habitat loss and poisoning,The crest on the head,,,Woodlands,Omnivore,,,Great Crested Flycatcher,1.0,"United States and Canada, Central and South America",,,BrownYellowBlue,,,Up to 14 years,27-40g (0.9-1.4oz),,,,,Snakes and squirrels,Bird,17-21cm (6.7-8.3in),,,,33cm (13in),13-15 days,,,,,,Tree cavities,13-15 days,,,1.0,1,0,0
Great Egret,"['Africa', 'Asia', 'Europe', 'Oceania']",Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,Ardea alba,"Fish, mice, frogs, snakes, crayfish, and insects",,,"590,000-2.2 million mature individuals",Habitat loss,"The long, slender legs","Great white egret, common egret, and great white heron",,"Lakes, swamps, and wooded wetlands",Carnivore,,,Great Egret,1.0,"Europe, Asia, Africa, and the Americas",,,White,,,15-23 years old,1kg (2.5lbs),,,,,"Crows, jays, vultures, and raccoons",Bird,1m (3.3ft),,,,1.5m (5ft),23-24 days,,,,,,Next to the shore,6-7 weeks,,,1.0,1,0,0
Green Bee-Eater,"['Africa', 'Asia', 'Eurasia']",Animalia,Chordata,Aves,Coraciiformes,Meropidae,Merops,Merops orientalis,,,,,,,,,Grasslands and open forests,Omnivore,,Solitary,Green Bee-Eater,,,Mainly eats honeybees!,,BrownYellowBlueBlackWhiteGreenOrange,Feathers,26 mph,12 - 18 years,15g - 20g (0.5oz - 0.7oz),,,,,"Eagles, Storks, Raptors",Bird,16cm - 18cm (6.2in - 7in),Long curved beak and bright green plumage,,,29-49cm (11.4-19.3in),14-22 days,,4.0,"Honeybee, Bees, Flying Insects",,,,,,,,1,0,0
Guinea Fowl,['Africa'],Animalia,Chordata,Aves,Galliformes,Numididae,,,,,,,,,,,"Forest, desert and grasslands",Omnivore,,Flock,Guinea Fowl,,,Found in a vairety of African habitats!,,BrownGreyYellowRedBlackWhite,Feathers,22 mph,10 - 20 years,0.7kg - 1.6kg (1.5lbs - 3.5lbs),40cm - 71cm (16in - 30in),,,,Large Mammals and Reptiles,Bird,,Large body size and bald neck,,,59-71 inches,4 weeks,,12.0,"Insects, Worms, Berries",,,Covered ground area,About 10 weeks,Insects,,,1,0,0
Harpy Eagle,"['Central-America', 'South-America']",Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Harpia,Harpia harpyja,,Chicks or hatchlings,Small families,Unknown,,Crown of feathers,American Harpy Eagle,,Lowland rainforests,Carnivore,,,Harpy Eagle,,Central and South America,Talon's the size of a grizzly bear's claws!,Birds,BlackWhite,Feathers,50 mph,25 to 35 years in the wild,5kg - 9kg (11lb - 20lbs),89cm - 102cm (35in - 40in),4 or 5 years,,,Other harpy eagles,,,,,,2m (6.5ft),,,,,,,,,"Sloths, monkeys, lizards, rodents, small deer, and birds",,,1,0,0
Harris Hawk,"['Central-America', 'North-America', 'South-America']",Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Parabuteo,Parabuteo unicinctus,"Other birds, lizards, small mammals, large insects",,,"390,000",Electrical wires, White bands around the tail,"Harris’s hawk, bay-winged hawk, dusky hawk, peuco",,Semi-arid areas such as scrubland and chaparral,Carnivore,,,harris hawk,1.0,"Southwestern United States, Mexico, Central and South America",,,BrownRedWhite,Feathers,28 mph,"10 to 12 years in the wild, as much as 25 years in captivity",1.62 to 2.31 pounds,"18.11 to 29.92 inches, females larger in size than males",,,Three to 15,"Coyotes, large owls, bobcats and ravens",bird,,,,,39.37 to 47.24 inches,32 to 36 days,,,,,,"Cacti, bushes, trees or artificial structures",35 to 45 days,,,,1,0,0
Hawaiian Crow,['Extinct in the Wild'],Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,Corvus Hawaiiensis,,,Flocks,,,Dark sheen,,,Semi-dry Forests,Omnivore,,,Hawaiian Crow,,Hawaii,Once believed to be a family guardian spirit in Hawaii,Birds,,Feathers,,18 Years In the Wild,1lb - 1.2lbs,18in - 20in,,,,,,,,,,36in - 42in,,,,,,,,,,,,1,0,0
Hawaiian Goose,['North-America'],Animalia,Chordata,Aves,Anseriformes,Anatidae,Branta,Branta sandvicensis,,,,2500. Its conservation status is near threatened.," Loss of habitat, predation, especially of eggs","Its beautiful, neutral-colored plumage","Nene, nēnē",,"Scrub forest, grassland, volcanic slopes, pastures, coastal dunes",Herbivore,,,Hawaiian goose,1.0,Hawaii,,,GreyWhiteCreamBlack-Brown,,40 mph,28 to 42 years,3.96 to 5.07 pounds,20.87 to 25.98 inches,,,One to five,"Owls, hawks, falcons, rats, pigs, mongooses, dogs, cats",Bird,16 inches,,,,36 to 38 inches,29 to 31 days,,,,,,Beneath a tree or bush,Three months,,,,1,0,0
Honey Buzzard,"['Asia', 'Eurasia', 'Europe', 'Oceania']",Animalia,Chordata,Aves,Accipitriformes,Accipitridae,,,"Wasp and bee larvae, young birds, and frogs.",,,,"Larger raptors, habitat loss, and reduced availability of prey",,,,,Carnivore,,,,6.0,,,,BrownGreyWhite,Feathers,,9 years,one to two pounds,,2 years,,,Goshawks,,20–24 in,,,,4.2 to 4.9 feet,,,,,,,33 – 66 feet above the ground,,,,1.0,1,0,0
House Sparrow,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Chordata,Aves,Passeriformes,Passeridae,Passer,Passer domesticus,"Insects, spiders, worms, and seeds",,,900 million to 1.3 billion,Habitat loss,The black eye stripe and bib on the male,English sparrow,,"Agricultural, residential, and urban areas",Omnivore,,,House Sparrow,1.0,Worldwide,,,BrownBlackWhite,,28 mph,Up to 13 years,28g (1oz),,,,,"Hawks, falcons, owls, shrikes, cat, raccoons, and snakes",Bird,15-18cm (6-7in),,,,25cm (10in),11 days,,,,,,Buildings and trees,2 weeks,,,1.0,1,0,0
Jacana,"['Africa', 'Asia', 'Central-America', 'Oceania', 'South-America']",Animalia,Chordata,Aves,Charadriiformes,Jacanidae,Jacana Brisson,Jacanidae,"Insects, snails, worms, crabs, fish, mollusks, and seeds",,,millions,habitat loss,The long legs and feet,Lilly trotters or lotus birds,,wetlands,Omnivore,,,jacana,8.0," Asia, Africa, Australia, and Central and South America",,,BrownYellowRedBlackWhiteGreen,,,,one to nine ounces,,,,,"Otters, turtles, crocodiles, snakes, birds of prey, and fish",bird,six to 12 inches,,,,20 inches,22-28 days,,3.0,,,,floating islands,50-60 days,,,,1,0,0
Jackdaw,"['Asia', 'Eurasia', 'Europe']",Animalia,Chordata,Aves,Passeriformes,Corvidae,,,"Seeds, fruits, insects, spiders, snails, carrion, and bird eggs",,,Around 100 million,Predators,The silvery white plumage around the neck,"Jackerdaw, sea crow, cawdaw, caddy",,"Farmlands, woodlands, cliffs, and urban environments",Omnivore,,,Jackdaw,1.0,Eurasia,,,GreyBlackWhitePurpleSilver,Feathers,25 mph,5 years on average,8 ounces,,,,,"Birds of prey, stoats, weasels, polecats, cats, and rodents",Bird,13 inches,,,,27in,17-18 days,,,,,,Hollow cavities,A month,,,1.0,1,0,0
Kakapo,['Oceania'],Animalia,Chordata,Aves,Psittaciformes,Nestoridae,Strigops,Strigops habroptilus,,,,,,,,,Areas of natural vegetation and dense jungle,Herbivore,2,Solitary,,,,The heaviest species of parrot in the world!,,BrownGreen,Feathers,,50-65 years,2-4kg (4.5-9lbs),,,,,,Bird,,,,,A few feet,30 days,,6.0,"Rimu fruit, Flowers, Roots, Seeds",,,Hollow logs or crevices,3.5 months,Rimu fruit,,,1,0,0
Keel-Billed Toucan,"['Central-America', 'South-America']",Animalia,Chordata,Aves,Piciformes,Ramphastidae,Ramphastos,Ramphastos sulfuratus,,,,,,,,,Lowland rainforest and tropical forest borders,Omnivore,,Sociable,,,,It's beak can reach nearly 20 cm long!,,YellowRedBlackGreenOrange,Feathers,39 mph,15 - 20 years,2.1kg - 4kg (4.7lbs - 8.8lbs),,,,,"Human, Weasels, Large Birds",Bird,42cm - 55cm (17in - 22in),Small body and enormous colourful beak,,,109cm - 152cm (43in - 60in),16-20 days,,3.0,"Fruit, Eggs, Insects",,,Tree cavities,8-9 weeks,Fruit,,,1,0,0
Kookaburra,['Oceania'],Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Dacelo,,"insects, reptiles, crustaceans, small birds, rodents, frogs",,,unknown,habitat loss,laugh-like sound,"laughing kookaburra, bushman's alarm clock",,"woodlands, wetlands",Carnivore,,,kookaburra,4.0,"Australia, New Zealand, Tasmania, New Guinea",,,BrownGreyBlueBlackWhiteCream,Feathers,20 mph,,13oz-16oz (0.8lb-1lb),38cm-42cm (15in-17in),,,,"birds of prey, large reptiles, quolls, foxes, pet cats, humans",bird,39cm-42cm (15.4in-16.5in),,,,64cm-66cm (25in-26in),25-29 days,,,,,,trees,,,,,1,0,0
Kori Bustard,['Africa'],Animalia,Chordata,Aves,Otidiformes,Otididae,Ardeotis,Ardeotis kori,"Insects, small mammals, mollusks, lizards, bird eggs, nestlings, carrion",,,Unknown,"Livestock farming and ranching, hunting and trapping, service and utility lines",Crest,"Christmas turkey, Kalahari Kentucky",,Open grasslands,Omnivore,,,Kori bustard,2.0,Africa,,,BrownGreyBlackWhite,Feathers,,26-28 years,6.6-39.7lbs,2ft 11in-4ft 5in,,,,"Ground-dwelling predatory, carnivorous or omnivorous mammals, birds of prey",Bird,2.25-4.5ft,,,,5ft 10in-7ft 3in,23-24 days,,2.0,,,,Open savanna,,,,,1,0,0
Lappet-faced Vulture,"['Africa', 'Asia']",Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Torgos,Torgos tracheliotos,"Smaller birds, mammals, insects and reptiles",,,,"Poisoning by humans, loss of prey due to habitat disruption",The “lappets” on its head that give the bird its name,"Nubian vulture, African eared vulture",,"Deserts, dry savannas, dry scrub, mountain slopes, wadis",Carnivore,,,Lappet-Faced Vulture,1.0,Africa and the Middle East,,,BlackWhitePinkLight-Brown,Feathers,29 mph,40 to 50 years,9.7 to 20.7 pounds,37 to 45 inches,,,1,Humans,Bird,,,,,8.2 to 9.5 feet,Seven to eight weeks,,1.0,,,,At the top of a tree,125 to 135 days,,,1.0,1,0,0
Long-Eared Owl,"['Asia', 'Eurasia', 'Europe', 'North-America']",Animalia,Chordata,Aves,Casuariiformes,Casuariidae,Casuarius,Casuarius,,,,,,,,,Coniferous forests,Carnivore,,Solitary,,,,Ear tufts make it look bigger!,,BrownYellowBlackTan,Feathers,31 mph,40 - 60 years,100g - 300g (8.75oz - 10oz),,,,,"Eagles, Harks, Foxes",Bird,31cm - 37cm (12in - 14.5in),Long ear-tufts and tan-coloured eye disks,,,86cm - 98cm (34in - 38.5in),,,5.0,"Rodents, Small birds and reptiles",,,,,,,,1,0,0
Long-Tailed Tit,"['Asia', 'Europe']",Animalia,Chordata,Aves,Passeriformes,Aegithalidae,Aegithalos,Aegithalos caudatus,Insects,,,,"Freezing weather, predators",Extremely long tail,"Alpine tit, European tit",,"Moorlands, farmlands, town and city gardens",Omnivore,,,Long-tailed tit,17.0,Asia and Europe,,,BlackWhitePink,,27 mph,2-3 years,9-10 grams,5-6 inches,,,6-15,"Falcons, jays, crows",bird,1-2 inches,,,,5.5 inches,13-17 days,,10.0,,,,Fork of a tree branch,14-18 days,,,,1,0,0
Macaroni Penguin,"['Antarctica', 'Ocean']",Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes Chrysolophus,,,,,,,,,Sea and ice-islands in Sub-Antarctica,Carnivore,,Colony,,,,"Gather in colonies of up to 100,000 members!",,BrownYellowBlackWhite,Feathers,22 mph,15-20 years,3.2-6.4kg (7-14lbs),,,,,"Leopard Seal, Killer Whale",Bird,,,,,80-100cm (31-39in),,,2.0,"Fish, Squid, Crustaceans",,,,,Fish,,,1,0,0
Macaw,"['Central-America', 'South-America']",Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Arini,Arini,,,,,,,,,Rainforests and tropical jungle,Omnivore,,Flock,,,,The largest species of parrot in the world!,,YellowRedBlueWhiteGreen,Feathers,15 mph,50 - 60 years,0.9kg - 2kg (2lbs - 4.4lbs),,,,,,Bird,76cm - 100cm (30in - 39in),Large colourful body and curved beak,,,3-4 feet,Up to 28 days,,,"Fruit, Nuts, Seeds, Insects",,,"Tall trees, riverbanks and cliffsides",9-10 months,Fruit,,1.0,1,0,0
Magellanic Penguin,"['Ocean', 'South-America']",Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Spheniscus,Spheniscus magellanicus,,,,,,,,,Antarctic islands,Carnivore,2,Flock,,,,Threatened by oil spills!,,BrownGreyBlackWhite,Feathers,22 mph,15 - 20 years,2.7kg - 6.5kg (5.9lbs - 14lbs),61cm - 76cm (24in - 30in),,,,"Sea Lion, Leopard Seal, Killer Whale",Bird,,Black beak and small wings,,,,,,,"Cuttlefish, Squid, Sardines",,,,,Cuttlefish,,,1,0,0
Magpie,"['Africa', 'Asia', 'Eurasia', 'Europe', 'Oceania']",Animalia,Chordata,Aves,Passeriformes,Corvidae,Pica,Pica Pica,,,,,,,,,"Open woodland, grasslands and savannas",Omnivore,,Solitary,,,,"They are found across Europe, Asia and Africa!",,BlackWhite,Feathers,20 mph,25 - 30 years,200g - 250g (7oz - 9oz),40cm - 46cm (16in - 18in),,,,"Foxes, Cats, Coyote",Bird,,Black and white markings and long wedge-shaped tail,,,52cm - 60cm (20in - 24in),,,3.0,"Fruit, Nuts, Seeds, Insects",,,,,Fruit,,,1,0,0
Mallard,"['Africa', 'Asia', 'Central-America', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas platyrhynchos,"Vegetation, insects, worms, and snails",,Flock,Unknown,Habitat loss and hunting,The iridescent green or blue-headed plumage of the male,Wild duck,,"Wetlands, lakes, streams, and ponds",Omnivore,,,Mallard,1.0,Worldwide,,,BrownGreyWhiteGreenOrange,Feathers,60 mph,5-10 years,38g on average (.084 pounds),20-26 inches,,,,,Bird,,,,,2.7-3.2ft,26-30 days,,,,,, Tall and dense vegetation near the water,52-60 days,,,1.0,1,0,0
Marabou Stork,['Africa'],Animalia,Chordata,Aves,Ciconiiformes,Ciconiidae,Leptoptilos,Leptoptilos crumenifer,"Smaller birds, small reptiles and small mammals, insects",,,"At least 10,000",Disease,Its ugliness,"Undertaker bird, Maraboe, nightmare bird",,"Deserts, savannas and wet areas, towns and cities",Omnivore,,,Marabou stork,,Sub-Saharan Africa,,,RedBlackWhite,Feathers,,"25 years in the wild, 41 in captivity",20 pounds,,,,1,Humans and large carnivores,Bird,60 inches,,,,12 feet,30 days,,,,,,"Cliffs, treetops, buildings",12 to 15 weeks,,,1.0,1,0,0
Mexican Eagle (Northern crested caracara),"['Central-America', 'North-America', 'South-America']",Animalia,Chordata,Aves,Falconiformes,Falconidae,Caracara,Caracara cheriway,"Rabbits, squirrels, skunks, frogs, lizards, snakes, turtles, fish, insects, birds, and alligators",,,Unknown,Unknown,The multi-colored beak,Mexican eagle,,"Prairies, deserts, and other semi-open terrains",Carnivore,,,Northern Crested Caracara,1.0,North America and South America,,,BrownBlueWhiteOrange,,,26 years,1.3kg (3lbs),,,,,Raccoons and crows,Bird,50-65cm (20-26in),,,,1.2-1.3m (47-52in),30 days,,,,,,"Shrubs, trees, and other structures",42-56 days,,,,1,0,0
Mountain Bluebird,"['Central-America', 'North-America']",Animalia,Chordata,Aves,Passeriformes,Turdidae,Sialia,Sialia currucoides,"Seeds, fruits, insects, and spiders",,,6 million mature individuals,Lack of tree hollows,Bright blue plumage,Arctic bluebirds,,Plains and mountains,Omnivore,,,Mountain Bluebird,1.0,North America,,,BrownGreyBlueWhite,Feathers,20 mph,6-10 years,0.8-1.1 ounces,,,,,"Hawks, falcons, cats, raccoons, snakes, weasels, and rodents",Bird,6-7 inches,,,,11-14in,12-16 days,,,,,,Tree hollows,,,,1.0,1,0,0
Myna Bird,"['Africa', 'Asia', 'North-America', 'Oceania']",Animalia,Chordata,Aves,Passeriformes,Sturnidae,,,"Insects, other small animals including crustaceans, rodents and fish",,,"Depends on the species. The population of the common mynah, Acridotheres tristis is unknown, but it is abundant in its range, and its population is increasing. On the other hand, the Bali myna is critically endangered. Scientists believe that less than 100 adult birds are left in the wild.","Habitat destruction, pet trade",The ability of some species to speak.,"Selarang, Teck Meng, Indian myna, Calcutta myna, Mal kawadiya, Sela lihiniya, Kampatiya, Sula magpie, talking myna, common grackle",,"Extensive, including farms, cities, forests, deserts, open forests, moist forests, mountain forests and dry woodlands, jungles, plantations and dwarf forests",Carnivore,,,"Mynah, or myna",,"Asia, including the Indian subcontinent, Oceania and North America",,,YellowBlackWhiteDark Brown,Feathers,50 mph,,3 to 14 ounces in weight,9 to 19.5 inches,,,Four to five,"Crows, cats, mongooses, humans",Bird,,,,,4.72 to 8.4 inches,13 to 18 days,,2.0,,,,In a tree or in river banks,22 to 24 days,,,,1,0,0
Nicobar pigeon,"['Asia', 'Oceania']",Animalia,Chordata,Aves,Columbiformes,Columbidae,Caloenas,Caloenas nicobarica,Invertebrates,,,"The population of is unknown, but it is decreasing and the bird’s conservation status is near threatened. There are about 1000 individuals on Palau as of 2021.","Habitat destruction, hunting, collection for the illegal pet trade","The colors of its long, iridescent feathers","Hackled pigeon, vulturine pigeon or white-tailed pigeon",,Lowland forests and mangrove forests,Omnivore,,,Nicobar Pigeon,1.0,"Andaman and Nicobar Islands, Solomon Islands, Palau, islands in the Malay Archipelago",,,GreyBlueWhiteGreenGolden,Feathers,93 mph,"8 to 12 years in the wild, and 10 to 15 years in captivity",16.22 to 21.16 ounces,"15.7 inches, males larger than females",,,1,"Humans, cats, rats",Bird,,,,,21 to 23 inches,2.5 weeks,,1.0,,,,A tree,10 days,,,,1,0,0
